score,score_fuzzed
1.8,1.7998439647891318
6.2,6.199996902239652
6.0,5.999937907157612
4.4,4.39985354195148
6.8,6.800141194612179
1.2,1.1999523267856522
7.0,6.99992195307861
6.2,6.200107026773515
2.8,2.799871770740411
7.0,6.9998672521098975
6.8,6.800012633763958
7.2,7.200086219371546
5.4,5.400069673696391
6.8,6.79996654348151
4.2,4.199900247393572
4.6,4.6001598908293895
6.0,6.000331407534551
4.0,4.000098777046103
2.0,2.0000123866257495
4.8,4.800074278539295
2.4,2.399960604414928
3.4,3.400014811581777
5.4,5.399958776554721
6.4,6.399983928493899
1.0,1.0000139531474765
3.6,3.6000285469368665
2.4,2.399971873800739
1.6,1.6001710907316078
2.6,2.5999850233361026
6.8,6.8000690306718115
2.4,2.400109520951236
6.4,6.400133840870322
1.6,1.5998631018331713
2.0,2.000048642762752
7.2,7.200075352167958
3.2,3.200036346459357
1.6,1.5999685289519059
1.8,1.8001373281168966
2.0,1.9999375582836143
0.6,0.6000375753997452
3.4,3.3999799583684798
1.4,1.4000743038060257
7.2,7.200085736195724
2.0,1.99984938107138
6.4,6.399833364782921
7.0,6.999978100519749
1.4,1.399964114157084
3.0,3.0000378527693643
6.8,6.800068421536582
3.4,3.3998832143932662
5.2,5.199920678338135
6.6,6.599996116460372
1.2,1.2002705254992911
6.6,6.599850861149274
5.8,5.800009597793205
1.4,1.4000524686707898
2.0,2.0000815665501404
