score,score_fuzzed
5.8,5.799968232429534
8.0,7.999969085800215
3.2,3.200125888179954
4.4,4.400171534458247
7.6,7.5999485070362525
7.0,6.9998467333253975
5.2,5.19997273330921
7.0,7.000133611014986
6.0,6.000213171190421
4.6,4.600044146198834
3.8,3.800014381939432
4.8,4.799823217739979
3.6,3.59990491806623
5.6,5.599907613874405
8.0,7.999955196042071
8.0,7.999985968998002
7.6,7.60013652555726
6.8,6.800054499722037
7.4,7.400072582233911
6.6,6.599954209524482
7.0,7.000020706127834
7.4,7.400034838816414
4.4,4.400005757990217
3.0,2.9999402667317168
7.0,7.000033706429377
5.4,5.399990873554014
8.0,8.000081176905669
5.0,5.0000350645318505
6.6,6.600023592431154
6.2,6.2000077431688805
6.6,6.599998048909496
4.4,4.40015623906486
7.4,7.400034980013347
6.4,6.4000623297150945
5.4,5.39999798237967
7.4,7.399997678322491
7.2,7.20006597331851
7.6,7.600106806740253
7.8,7.800044913210484
7.8,7.800021869518906
6.4,6.40009662325851
7.6,7.600086135743675
2.0,2.0000971249215667
6.2,6.199943576312334
6.0,5.9998455804178725
5.2,5.200048205524372
6.2,6.19998784451998
5.6,5.599949138393174
7.6,7.59996892720914
6.8,6.799996483531487
7.2,7.199899274052738
3.8,3.7999017501500627
7.0,6.999870539788344
7.4,7.400024305371904
6.6,6.59989316628403
7.2,7.1998832609301315
6.8,6.8000311402147195
7.8,7.800044400879552
5.8,5.799975191015238
3.4,3.400041845405283
2.2,2.2001231390970233
2.0,1.9998728407011042
2.8,2.80014922884803
5.6,5.599926644042223
4.6,4.599942004984849
6.4,6.400199676529657
6.4,6.399981410779341
6.8,6.800095265737591
7.0,7.00012302365096
4.6,4.599897778571794
1.2,1.1999431719427882
5.6,5.600009727366667
7.6,7.600059696599183
6.6,6.60017149997789
6.6,6.6001280466323005
5.8,5.800045448331815
4.0,3.999897730773934
4.8,4.800177544881309
5.6,5.600047855347659
6.2,6.199970705852505
3.0,3.0001074710922127
7.0,6.999964383257034
5.8,5.799956436540405
5.2,5.19990084740218
6.8,6.800046939887201
2.0,2.0000443991958368
7.6,7.599878173193709
7.0,7.0001643609254405
2.0,2.0001531404537087
8.0,7.999959640709565
7.4,7.4001372689901235
7.8,7.800056886819764
3.8,3.799943085660955
7.2,7.200011008345254
6.6,6.599876422287864
8.0,8.000065545683427
4.6,4.599949158542057
5.0,4.99977911544627
7.4,7.39990837998761
7.0,6.999968108554494
5.8,5.800141337406007
6.6,6.599838832602271
7.8,7.800003575814787
7.6,7.5999962236249115
7.6,7.600090689242838
5.2,5.199811463878601
7.6,7.599883189709049
8.0,8.000073043346518
7.2,7.200039927774148
7.8,7.8000472399183325
7.6,7.59994125182045
5.6,5.600036859164544
6.6,6.6001226219358795
5.8,5.800038305458634
6.6,6.599856545685086
1.6,1.6001981932365876
7.0,7.000040901324482
8.0,7.999915373858701
6.8,6.799872763023978
2.8,2.8001691869427034
