score,score_fuzzed
2.6,2.5999728227251078
6.2,6.199913240403327
7.6,7.600039305366161
8.0,7.999979355038866
8.0,8.000018934760643
4.8,4.800032427931778
8.0,8.000051254487728
7.2,7.200092974936646
2.8,2.7999252761452182
8.6,8.600094709008472
8.2,8.199894269677797
7.8,7.799979075244142
5.4,5.400182963415325
5.6,5.60003543990045
7.4,7.399963409080613
5.4,5.400051346921704
7.2,7.1998675486438914
8.0,7.999972592239639
5.2,5.200074629685987
5.8,5.799900502987443
3.0,3.000028617681025
4.8,4.799982739524077
8.0,7.999862041342118
7.6,7.600106464691201
2.2,2.1999891224999946
5.0,5.00002680012581
6.8,6.800133831705815
3.2,3.1999811204649764
4.6,4.599998710815236
8.6,8.600055865337515
7.4,7.399888889231549
8.2,8.200054615898184
5.4,5.399890993200691
6.8,6.799916919498931
8.0,8.000169873869185
3.6,3.6000992121757487
6.4,6.40006017688303
3.0,3.0000228155374327
2.8,2.800060000224664
3.4,3.399752001375874
2.4,2.3999984431067616
5.8,5.8000824463128335
8.0,7.999902981498533
2.6,2.5998682566337523
8.0,8.000062652799034
7.6,7.600009556745001
5.6,5.600031003439814
6.2,6.199865264774733
8.0,7.9999177015385445
7.2,7.199892579788828
6.8,6.800091978288723
7.8,7.800070268432933
3.8,3.8002023744845106
7.6,7.599809513902845
8.0,7.999889371266436
5.2,5.200124465291686
3.4,3.4000366102949995
